exercise,project_type,project,waiting_time,flat_type,estimated_floor_area,estimated_internal_floor_area,units,min_price,max_price,exercise_date,avg_price,avg_floor_area
Feb 2024,standard projects,rail garden @ cck,45,2-room flexi,48.0,46.0,96,128000,155000,2024-02-01,141500.0,47.0
Feb 2024,standard projects,rail garden @ cck,45,3-room,69.0,66.0,101,202000,253000,2024-02-01,227500.0,67.5
Feb 2024,standard projects,rail garden @ cck,45,4-room,93.0,90.0,224,300000,376000,2024-02-01,338000.0,91.5
Feb 2024,standard projects,tanjong tree residences @ hougang,39,2-room flexi,40.0,38.0,36,136000,154000,2024-02-01,145000.0,39.0
Feb 2024,standard projects,tanjong tree residences @ hougang,39,2-room flexi,48.0,46.0,118,145000,177000,2024-02-01,161000.0,47.0
Feb 2024,standard projects,tanjong tree residences @ hougang,39,3-room,71.0,68.0,84,247000,294000,2024-02-01,270500.0,69.5
Feb 2024,standard projects,tanjong tree residences @ hougang,39,4-room,95.0,92.0,122,371000,432000,2024-02-01,401500.0,93.5
Feb 2024,standard projects,matilda riverside,37,2-room flexi,39.0,36.0,68,131000,177000,2024-02-01,154000.0,37.5
Feb 2024,standard projects,matilda riverside,37,2-room flexi,48.0,46.0,203,158000,221000,2024-02-01,189500.0,47.0
Feb 2024,standard projects,matilda riverside,37,3-room,69.0,66.0,112,242000,296000,2024-02-01,269000.0,67.5
Feb 2024,standard projects,matilda riverside,37,4-room,94.0,90.0,358,318000,429000,2024-02-01,373500.0,92.0
Feb 2024,standard projects,matilda riverside,37,5-room,114.0,110.0,221,464000,582000,2024-02-01,523000.0,112.0
Feb 2024,standard projects,woodgrove edge,38/39,2-room flexi,38.0,36.0,89,119000,144000,2024-02-01,131500.0,37.0
Feb 2024,standard projects,woodgrove edge,38/39,2-room flexi,48.0,46.0,285,137000,184000,2024-02-01,160500.0,47.0
Feb 2024,standard projects,woodgrove edge,38/39,3-room,69.0,66.0,88,223000,278000,2024-02-01,250500.0,67.5
Feb 2024,standard projects,woodgrove edge,38/39,4-room,93.0,90.0,341,303000,385000,2024-02-01,344000.0,91.5
Feb 2024,standard projects,woodgrove edge,38/39,5-room,113.0,110.0,324,412000,515000,2024-02-01,463500.0,111.5
Feb 2024,plus project,bedok south bloom,40,2-room flexi,38.0,36.0,48,178000,227000,2024-02-01,202500.0,37.0
Feb 2024,plus project,bedok south bloom,40,2-room flexi,48.0,46.0,144,236000,284000,2024-02-01,260000.0,47.0
Feb 2024,plus project,bedok south bloom,40,4-room,93.0,90.0,336,491000,638000,2024-02-01,564500.0,91.5
Feb 2024,plus project,bedok north springs,38,2-room flexi,38.0,36.0,30,155000,203000,2024-02-01,179000.0,37.0
Feb 2024,plus project,bedok north springs,38,2-room flexi,48.0,46.0,105,209000,256000,2024-02-01,232500.0,47.0
Feb 2024,plus project,bedok north springs,38,4-room,93.0,90.0,163,451000,568000,2024-02-01,509500.0,91.5
Feb 2024,plus project,bedok north springs,38,5-room,113.0,110.0,135,605000,730000,2024-02-01,667500.0,111.5
Feb 2024,prime project,tanglin halt courtyard,58,2-room flexi,38.0,36.0,38,235000,278000,2024-02-01,256500.0,37.0
Feb 2024,prime project,tanglin halt courtyard,58,2-room flexi,48.0,46.0,38,308000,353000,2024-02-01,330500.0,47.0
Feb 2024,prime project,tanglin halt courtyard,58,4-room,89.0,86.0,175,565000,720000,2024-02-01,642500.0,87.5
Dec 2023,standard projects,petir park edge,48,2-room flexi,39.0,37.0,34,110000,145000,2023-12-01,127500.0,38.0
Dec 2023,standard projects,petir park edge,48,2-room flexi,49.0,47.0,109,144000,190000,2023-12-01,167000.0,48.0
Dec 2023,standard projects,petir park edge,48,4-room,93.0,90.0,191,320000,426000,2023-12-01,373000.0,91.5
Dec 2023,standard projects,jurong arcadia,37,2-room flexi,38.0,36.0,32,110000,140000,2023-12-01,125000.0,37.0
Dec 2023,standard projects,jurong arcadia,37,2-room flexi,48.0,46.0,126,138000,174000,2023-12-01,156000.0,47.0
Dec 2023,standard projects,jurong arcadia,37,3-room,69.0,66.0,80,207000,277000,2023-12-01,242000.0,67.5
Dec 2023,standard projects,jurong arcadia,37,4-room,93.0,90.0,304,315000,394000,2023-12-01,354500.0,91.5
Dec 2023,standard projects,jurong arcadia,37,5-room,113.0,110.0,174,431000,540000,2023-12-01,485500.0,111.5
Dec 2023,standard projects,woodlands beacon,50,3-room,70.0,67.0,91,268000,340000,2023-12-01,304000.0,68.5
Dec 2023,standard projects,woodlands beacon,50,4-room,93.0,90.0,308,318000,446000,2023-12-01,382000.0,91.5
Dec 2023,standard projects,urban rise @ woodlands,51,2-room flexi,40.0,37.0,64,145000,186000,2023-12-01,165500.0,38.5
Dec 2023,standard projects,urban rise @ woodlands,51,2-room flexi,50.0,48.0,133,174000,231000,2023-12-01,202500.0,49.0
Dec 2023,standard projects,urban rise @ woodlands,51,3-room,70.0,67.0,85,251000,345000,2023-12-01,298000.0,68.5
Dec 2023,standard projects,urban rise @ woodlands,51,4-room,94.0,92.0,306,337000,468000,2023-12-01,402500.0,93.0
Dec 2023,standard projects,urban rise @ woodlands,51,5-room,113.0,110.0,260,468000,612000,2023-12-01,540000.0,111.5
Dec 2023,plus project,chai chee green,39/43,3-room,69.0,66.0,97,298000,360000,2023-12-01,329000.0,67.5
Dec 2023,plus project,chai chee green,39/43,4-room,93.0,90.0,627,421000,534000,2023-12-01,477500.0,91.5
Dec 2023,plus project,chai chee green,39/43,5-room,113.0,110.0,260,569000,725000,2023-12-01,647000.0,111.5
Dec 2023,plus project,sin ming residences,32,3-room,69.0,66.0,105,374000,473000,2023-12-01,423500.0,67.5
Dec 2023,plus project,sin ming residences,32,4-room,93.0,90.0,627,519000,665000,2023-12-01,592000.0,91.5
Dec 2023,prime project,alexandra peaks,59,2-room flexi,38.0,36.0,38,218000,277000,2023-12-01,247500.0,37.0
Dec 2023,prime project,alexandra peaks,59,2-room flexi,48.0,46.0,15,332000,343000,2023-12-01,337500.0,47.0
Dec 2023,prime project,alexandra peaks,59,3-room,66.0,63.0,121,380000,512000,2023-12-01,446000.0,64.5
Dec 2023,prime project,alexandra peaks,59,4-room,89.0,86.0,730,533000,723000,2023-12-01,628000.0,87.5
Dec 2023,prime project,ulu pandan vista,59,3-room,66.0,63.0,218,430000,541000,2023-12-01,485500.0,64.5
