Exercise,Project Type,Project,Waiting Time,Flat Type,Estimated Floor Area,Estimated Internal Floor Area,Units,Min Price,Max Price
Jun 2024,Prime Project,Tanjong Rhu Riverfront I & II,48/55,2-room Flexi,48,46,440,262000,378000
Jun 2024,Prime Project,Tanjong Rhu Riverfront I & II,48/55,3-room,66,63,197,402000,544000
Jun 2024,Prime Project,Tanjong Rhu Riverfront I & II,48/55,4-room,89 - 92,86 - 89,1296,568000,779000
Jun 2024,Prime Project,Holland Vista,57,2-room Flexi,38,36,38,209000,285000
Jun 2024,Prime Project,Holland Vista,57,2-room Flexi,48,46,76,293000,367000
Jun 2024,Prime Project,Holland Vista,57,4-room,89,86,228,582000,762000
Feb 2024,Standard Projects,Rail Garden @ CCK,45,2-room Flexi,38,36,44,102000,124000
Feb 2024,Standard Projects,Rail Garden @ CCK,45,2-room Flexi,48,46,96,128000,155000
Feb 2024,Standard Projects,Rail Garden @ CCK,45,3-room,69,66,101,202000,253000
Feb 2024,Standard Projects,Rail Garden @ CCK,45,4-room,93,90,224,300000,376000
Feb 2024,Standard Projects,Tanjong Tree Residences @ Hougang,39,2-room Flexi,40,38,36,136000,154000
Feb 2024,Standard Projects,Tanjong Tree Residences @ Hougang,39,2-room Flexi,48,46,118,145000,177000
Feb 2024,Standard Projects,Tanjong Tree Residences @ Hougang,39,3-room,71,68,84,247000,294000
Feb 2024,Standard Projects,Tanjong Tree Residences @ Hougang,39,4-room,95,92,122,371000,432000
Feb 2024,Standard Projects,Matilda Riverside,37,2-room Flexi,39,36,68,131000,177000
Feb 2024,Standard Projects,Matilda Riverside,37,2-room Flexi,48,46,203,158000,221000
Feb 2024,Standard Projects,Matilda Riverside,37,3-room,69,66,112,242000,296000
Feb 2024,Standard Projects,Matilda Riverside,37,4-room,94,90,358,318000,429000
Feb 2024,Standard Projects,Matilda Riverside,37,5-room,114,110,221,464000,582000
Feb 2024,Standard Projects,Woodgrove Edge,38/39,2-room Flexi,38,36,89,119000,144000
Feb 2024,Standard Projects,Woodgrove Edge,38/39,2-room Flexi,48,46,285,137000,184000
Feb 2024,Standard Projects,Woodgrove Edge,38/39,3-room,69,66,88,223000,278000
Feb 2024,Standard Projects,Woodgrove Edge,38/39,4-room,93,90,341,303000,385000
Feb 2024,Standard Projects,Woodgrove Edge,38/39,5-room,113,110,324,412000,515000
Feb 2024,Plus Project,Bedok South Bloom,40,2-room Flexi,38,36,48,178000,227000
Feb 2024,Plus Project,Bedok South Bloom,40,2-room Flexi,48,46,144,236000,284000
Feb 2024,Plus Project,Bedok South Bloom,40,4-room,93,90,336,491000,638000
Feb 2024,Plus Project,Bedok North Springs,38,2-room Flexi,38,36,30,155000,203000
Feb 2024,Plus Project,Bedok North Springs,38,2-room Flexi,48,46,105,209000,256000
Feb 2024,Plus Project,Bedok North Springs,38,4-room,93,90,163,451000,568000
Feb 2024,Plus Project,Bedok North Springs,38,5-room,113,110,135,605000,730000
Feb 2024,Prime Project,Tanglin Halt Courtyard,58,2-room Flexi,38,36,38,235000,278000
Feb 2024,Prime Project,Tanglin Halt Courtyard,58,2-room Flexi,48,46,38,308000,353000
Feb 2024,Prime Project,Tanglin Halt Courtyard,58,4-room,89,86,175,565000,720000
Dec 2023,Standard Projects,Petir Park Edge,48,2-room Flexi,39,37,34,110000,145000
Dec 2023,Standard Projects,Petir Park Edge,48,2-room Flexi,49,47,109,144000,190000
Dec 2023,Standard Projects,Petir Park Edge,48,4-room,93,90,191,320000,426000
Dec 2023,Standard Projects,Jurong Arcadia,37,2-room Flexi,38,36,32,110000,140000
Dec 2023,Standard Projects,Jurong Arcadia,37,2-room Flexi,48,46,126,138000,174000
Dec 2023,Standard Projects,Jurong Arcadia,37,3-room,69,66,80,207000,277000
Dec 2023,Standard Projects,Jurong Arcadia,37,4-room,93,90,304,315000,394000
Dec 2023,Standard Projects,Jurong Arcadia,37,5-room,113,110,174,431000,540000
Dec 2023,Standard Projects,Woodlands Beacon,50,3-room,70,67,91,268000,340000
Dec 2023,Standard Projects,Woodlands Beacon,50,4-room,93,90,308,318000,446000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,2-room Flexi,40,37,64,145000,186000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,2-room Flexi,50,48,133,174000,231000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,3-room,70,67,85,251000,345000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,4-room,94,92,306,337000,468000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,5-room,113,110,260,468000,612000
Dec 2023,Plus Project,Chai Chee Green,39/43,3-room,69,66,97,298000,360000
Dec 2023,Plus Project,Chai Chee Green,39/43,4-room,93,90,627,421000,534000
Dec 2023,Plus Project,Chai Chee Green,39/43,5-room,113,110,260,569000,725000
Dec 2023,Plus Project,Sin Ming Residences,32,3-room,69,66,105,374000,473000
Dec 2023,Plus Project,Sin Ming Residences,32,4-room,93,90,627,519000,665000
Dec 2023,Prime Project,Alexandra Peaks,59,2-room Flexi,38,36,38,218000,277000
Dec 2023,Prime Project,Alexandra Peaks,59,2-room Flexi,48,46,15,332000,343000
Dec 2023,Prime Project,Alexandra Peaks,59,3-room,66,63,121,380000,512000
Dec 2023,Prime Project,Alexandra Peaks,59,4-room,89,86,730,533000,723000
Dec 2023,Prime Project,Ulu Pandan Vista,59,3-room,66,63,218,430000,541000
Dec 2023,Prime Project,Ulu Pandan Vista,59,4-room,89,86,672,598000,763000
Dec 2023,Standard Projects,Petir Park Edge,48,2-room Flexi,39,37,34,110000,145000
Dec 2023,Standard Projects,Petir Park Edge,48,2-room Flexi,49,47,109,144000,190000
Dec 2023,Standard Projects,Petir Park Edge,48,4-room,93,90,191,320000,426000
Dec 2023,Standard Projects,Jurong Arcadia,37,2-room Flexi,38,36,32,110000,140000
Dec 2023,Standard Projects,Jurong Arcadia,37,2-room Flexi,48,46,126,138000,174000
Dec 2023,Standard Projects,Jurong Arcadia,37,3-room,69,66,80,207000,277000
Dec 2023,Standard Projects,Jurong Arcadia,37,4-room,93,90,304,315000,394000
Dec 2023,Standard Projects,Jurong Arcadia,37,5-room,113,110,174,431000,540000
Dec 2023,Standard Projects,Woodlands Beacon,50,3-room,70,67,91,268000,340000
Dec 2023,Standard Projects,Woodlands Beacon,50,4-room,93,90,308,318000,446000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,2-room Flexi,40,37,64,145000,186000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,2-room Flexi,50,48,133,174000,231000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,3-room,70,67,85,251000,345000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,4-room,94,92,306,337000,468000
Dec 2023,Standard Projects,Urban Rise @ Woodlands,51,5-room,113,110,260,468000,612000
Dec 2023,Plus Project,Chai Chee Green,39/43,3-room,69,66,97,298000,360000
Dec 2023,Plus Project,Chai Chee Green,39/43,4-room,93,90,627,421000,534000
Dec 2023,Plus Project,Chai Chee Green,39/43,5-room,113,110,260,569000,725000
Dec 2023,Plus Project,Sin Ming Residences,32,3-room,69,66,105,374000,473000
Dec 2023,Plus Project,Sin Ming Residences,32,4-room,93,90,627,519000,665000
Dec 2023,Prime Project,Alexandra Peaks,59,2-room Flexi,38,36,38,218000,277000
Dec 2023,Prime Project,Alexandra Peaks,59,2-room Flexi,48,46,15,332000,343000
Dec 2023,Prime Project,Alexandra Peaks,59,3-room,66,63,121,380000,512000
Dec 2023,Prime Project,Alexandra Peaks,59,4-room,89,86,730,533000,723000
Dec 2023,Prime Project,Ulu Pandan Vista,59,3-room,66,63,218,430000,541000
Dec 2023,Prime Project,Ulu Pandan Vista,59,4-room,89,86,672,598000,763000
Oct 2023,Standard Projects,Rail Green I & II @ CCK,39/48,2-room Flexi,38,36,114,106000,132000
Oct 2023,Standard Projects,Rail Green I & II @ CCK,39/48,2-room Flexi,48,46,283,134000,168000
Oct 2023,Standard Projects,Rail Green I & II @ CCK,39/48,3-room,69,66,152,216000,272000
Oct 2023,Standard Projects,Rail Green I & II @ CCK,39/48,4-room,93 - 95,90 - 92,802,319000,437000
Oct 2023,Standard Projects,Rail Green I & II @ CCK,39/48,5-room,113 - 115,110 - 112,518,463000,595000
Oct 2023,Standard Projects,Rail Green I & II @ CCK,39/48,3Gen,120,115,26,471000,530000
Oct 2023,Standard Projects,Plantation Edge I & II,36/40,2-room Flexi,38,36,52,114000,133000
Oct 2023,Standard Projects,Plantation Edge I & II,36/40,2-room Flexi,48,46,211,142000,183000
Oct 2023,Standard Projects,Plantation Edge I & II,36/40,3-room,69,66,81,232000,279000
Oct 2023,Standard Projects,Plantation Edge I & II,36/40,4-room,93,90,353,353000,418000
Oct 2023,Standard Projects,Plantation Edge I & II,36/40,5-room,113,110,313,460000,568000
Oct 2023,Plus Project,Rajah Residences,52,2-room Flexi,38,36,31,176000,216000
Oct 2023,Plus Project,Rajah Residences,52,2-room Flexi,48,46,101,214000,294000
Oct 2023,Plus Project,Rajah Residences,52,4-room,93,90,607,480000,675000
Oct 2023,Plus Project,Tenteram Vantage,45,3-room,69,66,88,339000,420000
Oct 2023,Plus Project,Tenteram Vantage,45,4-room,93,90,952,488000,628000
Oct 2023,Prime Project,Verandah @ Kallang,42,2-room Flexi,39,36,28,193000,237000
Oct 2023,Prime Project,Verandah @ Kallang,42,2-room Flexi,49,46,112,240000,303000
Oct 2023,Prime Project,Verandah @ Kallang,42,3-room,69,66,110,368000,475000
Oct 2023,Prime Project,Verandah @ Kallang,42,4-room,93,90,893,535000,675000
Oct 2023,Prime Project,Tanglin Halt Cascadia,54,3-room,66,63,155,364000,509000
Oct 2023,Prime Project,Tanglin Halt Cascadia,54,4-room,89,86,818,537000,702000
